,Date,Open,High,Low,Close,Volume,Market Cap
0,,,,,,,
1,"Aug 02, 2019",328.72,331.44,322.77,326.82,"1,521,358,677","5,858,646,056"
2,"Aug 01, 2019",326.59,329.05,320.07,328.76,"1,485,593,980","5,892,751,618"
3,"Jul 31, 2019",315.83,329.30,315.83,326.57,"1,647,491,046","5,852,931,216"
4,"Jul 30, 2019",307.91,320.26,305.29,315.93,"1,376,384,681","5,661,633,809"
5,"Jul 29, 2019",310.20,312.62,305.77,307.92,"1,319,630,375","5,517,534,583"
6,"Jul 28, 2019",306.50,311.29,299.00,310.46,"1,304,270,432","5,562,469,266"
7,"Jul 27, 2019",316.43,321.70,302.55,306.64,"1,529,445,657","5,493,623,993"
8,"Jul 26, 2019",302.79,319.03,296.69,316.04,"1,485,022,992","5,661,444,258"
9,"Jul 25, 2019",302.90,310.63,296.88,302.95,"1,270,702,881","5,426,343,673"
10,"Jul 24, 2019",298.14,305.81,284.73,302.85,"1,507,512,759","5,424,049,391"
11,"Jul 23, 2019",310.72,314.31,294.30,298.58,"1,465,679,636","5,347,064,857"
12,"Jul 22, 2019",321.00,323.62,303.04,310.59,"1,297,124,990","5,561,548,261"
13,"Jul 21, 2019",324.39,330.47,312.74,320.86,"1,359,692,581","5,744,869,635"
14,"Jul 20, 2019",308.38,337.28,306.11,324.20,"1,715,437,159","5,804,085,930"
15,"Jul 19, 2019",314.78,316.39,298.46,308.03,"1,455,314,291","5,513,937,260"
16,"Jul 18, 2019",291.38,321.35,286.14,315.09,"1,844,896,871","5,639,784,558"
17,"Jul 17, 2019",281.20,304.09,275.57,291.54,"2,288,443,142","5,217,863,519"
18,"Jul 16, 2019",314.86,317.30,273.03,281.71,"2,120,520,439","5,041,290,674"
19,"Jul 15, 2019",283.30,322.28,258.65,314.74,"2,464,005,425","5,631,883,901"
20,"Jul 14, 2019",344.97,346.37,281.20,282.84,"1,688,007,280","5,060,555,564"
21,"Jul 13, 2019",354.57,354.85,334.48,344.95,"1,496,154,286","6,171,207,834"
22,"Jul 12, 2019",346.55,359.78,339.88,354.46,"1,671,307,825","6,340,628,507"
23,"Jul 11, 2019",390.29,390.44,325.74,345.88,"2,535,121,897","6,186,691,363"
24,"Jul 10, 2019",416.09,421.53,383.68,390.24,"1,946,693,493","6,979,428,054"
25,"Jul 09, 2019",418.79,428.36,412.44,416.08,"1,624,612,090","7,440,740,818"
26,"Jul 08, 2019",412.12,420.79,406.48,418.63,"1,397,264,412","7,485,665,780"
27,"Jul 07, 2019",405.58,415.07,400.76,411.81,"1,334,925,076","7,362,894,509"
28,"Jul 06, 2019",400.23,416.23,399.28,405.47,"1,471,000,137","7,248,770,123"
29,"Jul 05, 2019",401.64,408.08,393.68,400.51,"1,725,160,159","7,159,550,587"
30,"Jul 04, 2019",422.81,423.85,400.46,401.69,"1,721,585,714","7,179,847,499"
31,"Jul 03, 2019",407.91,422.73,407.33,422.61,"1,887,674,266","7,552,985,982"
32,"Jul 02, 2019",416.52,421.11,382.83,407.89,"2,148,449,372","7,289,112,276"
33,"Jul 01, 2019",399.83,418.57,390.76,416.65,"2,170,629,296","7,444,877,514"
34,"Jun 30, 2019",441.96,447.30,399.47,399.47,"1,933,402,678","7,137,232,211"
35,"Jun 29, 2019",437.12,443.62,415.39,442.72,"2,131,966,116","7,909,203,099"
36,"Jun 28, 2019",413.62,439.62,401.50,436.80,"2,663,786,738","7,802,534,342"
37,"Jun 27, 2019",485.87,490.68,392.82,413.27,"3,097,101,870","7,381,521,390"
38,"Jun 26, 2019",479.79,514.72,465.77,485.57,"3,541,460,266","8,671,982,407"
39,"Jun 25, 2019",476.72,483.93,466.30,479.81,"2,225,951,702","8,568,477,927"
40,"Jun 24, 2019",475.34,476.67,464.80,476.25,"1,857,691,004","8,504,058,846"
41,"Jun 23, 2019",479.44,496.92,472.20,475.02,"2,313,225,132","8,481,134,641"
42,"Jun 22, 2019",439.69,522.09,437.84,480.17,"3,606,842,274","8,572,340,894"
43,"Jun 21, 2019",413.60,441.16,413.17,439.45,"1,846,131,599","7,844,600,288"
44,"Jun 20, 2019",416.81,417.32,406.56,413.56,"1,314,360,146","7,381,555,720"
45,"Jun 19, 2019",413.93,420.25,410.73,416.91,"1,297,224,300","7,440,639,033"
46,"Jun 18, 2019",432.02,432.34,405.31,413.94,"1,622,477,887","7,386,885,005"
47,"Jun 17, 2019",428.26,438.60,427.06,432.52,"1,454,079,245","7,717,588,598"
48,"Jun 16, 2019",422.83,440.50,418.98,428.32,"1,904,693,125","7,642,032,028"
49,"Jun 15, 2019",421.68,425.59,413.15,422.83,"1,566,387,915","7,543,301,233"
50,"Jun 14, 2019",411.89,422.20,402.36,421.29,"1,793,749,535","7,515,047,092"
51,"Jun 13, 2019",396.32,423.43,395.50,411.94,"2,044,418,533","7,347,603,511"
52,"Jun 12, 2019",388.11,399.87,385.73,396.38,"1,470,454,427","7,069,287,863"
53,"Jun 11, 2019",394.77,397.02,380.79,387.91,"1,316,065,000","6,917,539,681"
54,"Jun 10, 2019",381.06,399.12,375.78,394.58,"1,537,080,110","7,035,828,916"
55,"Jun 09, 2019",394.15,396.50,373.64,381.17,"1,326,212,608","6,795,928,982"
56,"Jun 08, 2019",401.56,405.10,387.59,394.24,"1,393,738,910","7,028,325,633"
57,"Jun 07, 2019",397.04,410.49,392.39,401.43,"1,571,977,471","7,155,833,282"
58,"Jun 06, 2019",398.07,403.00,373.95,396.93,"1,857,674,526","7,074,832,085"
59,"Jun 05, 2019",382.65,411.69,382.60,398.38,"2,659,571,174","7,100,023,322"
60,"Jun 04, 2019",408.21,408.21,368.95,382.66,"2,279,486,006","6,819,133,358"
61,"Jun 03, 2019",443.73,446.75,403.70,408.66,"2,062,149,881","7,281,637,876"
62,"Jun 02, 2019",434.72,449.76,434.27,443.77,"1,645,915,863","7,906,527,803"
63,"Jun 01, 2019",445.03,448.60,432.18,434.46,"1,774,830,914","7,739,847,598"
64,"May 31, 2019",424.62,445.11,417.70,445.07,"2,239,642,925","7,928,120,027"
65,"May 30, 2019",454.45,478.53,414.15,424.62,"2,988,845,095","7,563,129,806"
66,"May 29, 2019",435.01,462.78,422.64,454.12,"2,493,988,249","8,087,688,934"
67,"May 28, 2019",443.01,443.75,429.77,435.00,"1,995,254,776","7,746,217,003"
68,"May 27, 2019",432.97,456.25,427.11,443.80,"2,767,017,567","7,902,126,191"
69,"May 26, 2019",406.55,436.34,394.69,432.84,"2,311,867,234","7,706,274,017"
70,"May 25, 2019",409.21,414.56,401.58,406.74,"1,812,156,961","7,240,862,143"
71,"May 24, 2019",405.92,421.01,396.41,409.05,"2,441,092,695","7,281,315,898"
72,"May 23, 2019",391.52,406.63,372.63,405.84,"2,544,348,455","7,223,445,689"
73,"May 22, 2019",417.31,422.91,387.71,392.51,"2,493,471,577","6,985,412,414"
74,"May 21, 2019",412.52,439.38,401.31,417.55,"2,894,337,881","7,430,305,034"
75,"May 20, 2019",421.38,421.42,385.42,412.81,"2,932,575,975","7,345,236,299"
76,"May 19, 2019",357.31,428.85,356.85,421.49,"3,347,689,966","7,498,997,884"
77,"May 18, 2019",364.45,370.37,351.99,357.62,"2,276,729,590","6,361,880,487"
78,"May 17, 2019",398.68,410.00,340.84,364.85,"3,639,603,283","6,489,886,201"
79,"May 16, 2019",402.44,443.68,387.54,398.70,"4,522,945,333","7,091,323,125"
80,"May 15, 2019",389.12,407.71,373.64,402.93,"3,374,131,496","7,165,698,706"
81,"May 14, 2019",385.37,407.58,369.13,388.96,"3,490,443,261","6,916,566,798"
82,"May 13, 2019",354.03,401.34,347.16,384.48,"3,775,372,869","6,836,234,081"
83,"May 12, 2019",356.27,375.38,336.19,354.03,"4,136,205,097","6,294,245,390"
84,"May 11, 2019",287.79,377.01,287.73,356.37,"3,587,276,404","6,335,163,786"
85,"May 10, 2019",284.20,294.24,279.61,287.73,"1,807,016,333","5,114,440,435"
86,"May 09, 2019",286.47,292.72,278.45,284.19,"1,481,835,612","5,050,970,285"
87,"May 08, 2019",286.55,287.26,276.66,286.30,"1,423,796,801","5,088,008,680"
88,"May 07, 2019",287.68,298.44,286.22,286.73,"1,773,389,358","5,095,284,367"
89,"May 06, 2019",293.96,294.72,277.51,287.66,"1,766,785,841","5,111,287,560"
90,"May 05, 2019",291.35,298.91,287.05,293.95,"1,995,769,808","5,222,388,151"
91,"May 04, 2019",292.88,311.66,275.39,291.49,"2,665,107,945","5,178,176,100"
92,"May 03, 2019",270.15,297.16,267.88,293.01,"2,046,668,051","5,204,703,336"
93,"May 02, 2019",271.97,280.16,268.02,270.18,"1,513,870,927","4,798,658,849"
94,"May 01, 2019",267.99,278.65,266.46,271.82,"1,693,067,790","4,827,202,612"
95,"Apr 30, 2019",237.57,268.23,236.33,267.76,"1,761,938,029","4,754,698,560"
96,"Apr 29, 2019",255.55,255.55,232.91,236.61,"1,326,738,644","4,201,181,991"
97,"Apr 28, 2019",264.12,267.58,251.62,255.47,"1,007,833,364","4,535,543,220"
98,"Apr 27, 2019",264.09,266.59,261.06,263.94,"910,703,481","4,685,455,838"
99,"Apr 26, 2019",267.19,274.98,257.49,263.88,"1,345,116,972","4,683,922,947"
100,"Apr 25, 2019",279.21,284.03,266.19,266.85,"1,229,338,671","4,736,173,073"
101,"Apr 24, 2019",290.96,291.85,270.56,278.94,"1,554,756,186","4,950,183,725"
102,"Apr 23, 2019",292.79,308.47,290.62,291.17,"1,434,551,201","5,166,782,245"
103,"Apr 22, 2019",290.34,295.90,287.55,292.81,"1,184,945,128","5,195,382,026"
104,"Apr 21, 2019",300.81,303.33,281.90,290.48,"1,279,142,852","5,153,508,007"
105,"Apr 20, 2019",306.86,309.65,296.76,300.75,"1,036,399,596","5,335,185,126"
106,"Apr 19, 2019",306.93,310.08,293.59,306.81,"1,395,000,142","5,442,073,304"
107,"Apr 18, 2019",310.87,314.36,304.74,306.96,"1,203,614,370","5,444,130,081"
108,"Apr 17, 2019",318.31,321.69,306.28,310.80,"1,373,348,879","5,511,745,936"
109,"Apr 16, 2019",314.12,324.84,305.79,318.31,"1,686,596,635","5,644,306,278"
110,"Apr 15, 2019",288.70,332.28,288.09,314.12,"2,459,286,061","5,569,511,338"
111,"Apr 14, 2019",279.41,289.54,274.86,288.65,"990,830,744","5,117,349,387"
112,"Apr 13, 2019",282.68,286.50,274.12,279.47,"1,142,074,597","4,954,123,909"
113,"Apr 12, 2019",272.64,287.01,260.67,282.85,"1,458,454,991","5,013,575,388"
114,"Apr 11, 2019",305.12,306.07,259.02,272.71,"1,824,110,954","4,833,259,697"
115,"Apr 10, 2019",295.97,312.09,295.79,305.22,"1,476,621,660","5,408,935,312"
116,"Apr 09, 2019",309.95,309.95,294.89,296.04,"1,312,902,759","5,245,808,192"
117,"Apr 08, 2019",319.77,326.92,297.36,310.16,"1,918,300,729","5,495,399,882"
118,"Apr 07, 2019",305.80,326.11,300.14,319.60,"2,183,906,035","5,662,007,844"
119,"Apr 06, 2019",292.81,328.44,285.28,306.07,"2,107,781,161","5,421,896,039"
120,"Apr 05, 2019",286.64,299.74,282.56,292.64,"1,697,395,926","5,183,362,407"
121,"Apr 04, 2019",298.47,317.37,276.33,286.57,"2,803,008,785","5,075,306,708"
122,"Apr 03, 2019",236.40,342.87,236.30,298.35,"4,237,037,516","5,283,502,610"
123,"Apr 02, 2019",167.63,240.11,167.47,236.13,"1,648,897,519","4,181,200,031"
124,"Apr 01, 2019",168.90,169.31,167.09,167.63,"465,814,641","2,967,829,681"
125,"Mar 31, 2019",168.64,169.04,167.38,168.94,"454,369,901","2,990,730,945"
126,"Mar 30, 2019",170.30,177.73,167.37,168.59,"581,569,997","2,984,272,263"
127,"Mar 29, 2019",169.35,172.16,166.46,170.45,"560,103,605","3,016,920,025"
128,"Mar 28, 2019",173.10,173.10,167.26,169.45,"545,985,641","2,998,993,454"
129,"Mar 27, 2019",160.51,174.17,160.05,173.18,"566,792,974","3,064,635,955"
130,"Mar 26, 2019",161.39,161.94,156.01,161.44,"448,350,663","2,856,498,863"
131,"Mar 25, 2019",166.11,166.70,158.66,161.62,"462,768,947","2,859,416,983"
132,"Mar 24, 2019",167.09,167.09,164.05,165.94,"400,180,522","2,935,530,185"
133,"Mar 23, 2019",158.13,170.05,157.70,167.41,"518,279,691","2,961,308,944"
134,"Mar 22, 2019",154.71,161.09,153.54,158.34,"373,689,646","2,800,577,106"
135,"Mar 21, 2019",160.79,161.29,150.56,154.77,"488,749,472","2,737,074,468"
136,"Mar 20, 2019",162.33,162.33,156.58,160.53,"394,747,561","2,838,778,127"
137,"Mar 19, 2019",162.60,163.19,157.81,162.43,"430,154,285","2,871,986,995"
138,"Mar 18, 2019",156.26,166.67,156.09,162.49,"635,931,669","2,872,870,544"
139,"Mar 17, 2019",157.44,158.67,148.71,156.08,"437,535,869","2,759,201,463"
140,"Mar 16, 2019",143.98,160.69,143.98,157.58,"648,403,250","2,785,421,758"
141,"Mar 15, 2019",133.79,146.74,132.94,143.99,"363,130,165","2,544,991,930"
142,"Mar 14, 2019",128.82,135.74,128.82,133.90,"388,641,464","2,366,317,917"
143,"Mar 13, 2019",129.19,129.72,127.92,128.93,"217,915,164","2,278,360,791"
144,"Mar 12, 2019",130.35,130.66,128.10,128.95,"232,279,797","2,278,392,927"
145,"Mar 11, 2019",132.86,133.40,128.23,130.20,"268,403,469","2,300,366,575"
