,Date,Open,High,Low,Close,Volume,Market Cap
0,,,,,,,
1,"Aug 02, 2019",5.98,6.02,5.85,5.88,"412,140,426","661,313,990"
2,"Aug 01, 2019",6.06,6.07,5.86,5.98,"442,291,025","672,038,689"
3,"Jul 31, 2019",5.94,6.09,5.82,6.06,"446,334,660","680,587,955"
4,"Jul 30, 2019",5.94,6.00,5.82,5.94,"405,428,794","667,658,068"
5,"Jul 29, 2019",5.90,6.05,5.87,5.94,"463,010,341","667,106,219"
6,"Jul 28, 2019",5.94,6.01,5.63,5.91,"467,643,759","663,238,733"
7,"Jul 27, 2019",6.22,6.31,5.82,5.93,"488,309,293","665,802,088"
8,"Jul 26, 2019",6.02,6.25,5.92,6.22,"453,543,240","698,535,750"
9,"Jul 25, 2019",6.11,6.25,6.00,6.02,"475,705,830","675,553,982"
10,"Jul 24, 2019",6.04,6.22,5.78,6.12,"559,195,944","687,129,177"
11,"Jul 23, 2019",6.36,6.36,5.97,6.04,"558,743,150","677,243,300"
12,"Jul 22, 2019",6.26,6.49,6.24,6.36,"588,449,945","712,899,973"
13,"Jul 21, 2019",6.17,6.29,6.06,6.26,"505,774,986","702,176,249"
14,"Jul 20, 2019",5.87,6.32,5.86,6.18,"550,207,510","692,456,633"
15,"Jul 19, 2019",6.06,6.06,5.71,5.87,"575,039,548","658,174,271"
16,"Jul 18, 2019",5.70,6.09,5.46,6.05,"615,658,793","678,427,377"
17,"Jul 17, 2019",5.34,5.89,5.25,5.70,"620,406,765","638,731,584"
18,"Jul 16, 2019",5.79,6.07,5.22,5.35,"659,446,809","598,862,271"
19,"Jul 15, 2019",5.68,5.85,5.22,5.79,"684,348,176","648,349,211"
20,"Jul 14, 2019",6.64,6.66,5.66,5.67,"635,115,700","634,811,915"
21,"Jul 13, 2019",6.81,6.82,6.45,6.63,"494,753,959","741,892,587"
22,"Jul 12, 2019",6.64,6.86,6.56,6.81,"578,739,666","761,680,524"
23,"Jul 11, 2019",7.30,7.30,6.33,6.63,"671,496,898","742,236,266"
24,"Jul 10, 2019",7.90,7.94,7.02,7.29,"674,630,757","815,753,606"
25,"Jul 09, 2019",8.02,8.12,7.81,7.91,"654,848,641","884,059,262"
26,"Jul 08, 2019",7.97,8.03,7.88,8.02,"684,112,433","896,184,239"
27,"Jul 07, 2019",7.81,8.01,7.74,7.93,"666,411,772","886,493,089"
28,"Jul 06, 2019",7.84,7.97,7.74,7.81,"707,657,234","873,272,981"
29,"Jul 05, 2019",7.75,7.92,7.62,7.84,"750,356,955","876,290,239"
30,"Jul 04, 2019",7.84,8.15,7.72,7.76,"822,719,239","866,756,149"
31,"Jul 03, 2019",7.71,7.91,7.65,7.87,"789,429,913","879,061,113"
32,"Jul 02, 2019",7.76,7.86,7.32,7.70,"855,230,260","860,313,611"
33,"Jul 01, 2019",7.71,7.98,7.33,7.76,"874,437,054","866,687,455"
34,"Jun 30, 2019",8.27,8.62,7.73,7.73,"892,040,483","862,249,987"
35,"Jun 29, 2019",8.03,8.29,7.62,8.27,"810,346,203","923,240,201"
36,"Jun 28, 2019",7.67,8.04,7.55,8.03,"975,712,142","895,508,296"
37,"Jun 27, 2019",9.02,9.11,7.18,7.65,"1,407,240,749","853,564,080"
38,"Jun 26, 2019",9.25,9.62,8.85,9.04,"1,216,912,857","1,008,099,057"
39,"Jun 25, 2019",9.27,9.30,9.05,9.25,"769,322,239","1,031,488,658"
40,"Jun 24, 2019",9.28,9.39,8.97,9.26,"771,250,120","1,032,361,311"
41,"Jun 23, 2019",9.14,9.59,9.06,9.28,"958,883,927","1,033,684,279"
42,"Jun 22, 2019",8.73,9.29,8.70,9.14,"1,107,874,156","1,018,811,434"
43,"Jun 21, 2019",8.50,8.80,8.45,8.72,"815,961,669","971,357,363"
44,"Jun 20, 2019",8.52,8.61,8.35,8.50,"587,709,880","946,224,987"
45,"Jun 19, 2019",8.43,8.65,8.40,8.54,"590,876,271","950,638,212"
46,"Jun 18, 2019",8.74,8.84,8.33,8.43,"622,052,950","938,233,212"
47,"Jun 17, 2019",8.72,8.89,8.63,8.81,"507,799,796","980,354,376"
48,"Jun 16, 2019",8.60,8.92,8.53,8.69,"848,979,267","967,075,644"
49,"Jun 15, 2019",8.56,8.73,8.42,8.60,"620,126,945","956,871,136"
50,"Jun 14, 2019",8.52,8.58,8.18,8.54,"670,586,440","949,862,552"
51,"Jun 13, 2019",8.58,8.69,8.45,8.55,"684,549,128","950,140,211"
52,"Jun 12, 2019",8.26,8.78,8.14,8.56,"705,350,374","951,069,096"
53,"Jun 11, 2019",8.28,8.35,8.03,8.26,"508,941,952","917,812,627"
54,"Jun 10, 2019",8.14,8.39,7.93,8.30,"675,313,606","921,736,480"
55,"Jun 09, 2019",8.46,8.53,7.92,8.15,"728,018,275","905,908,991"
56,"Jun 08, 2019",8.22,8.73,8.07,8.46,"830,432,073","939,842,267"
57,"Jun 07, 2019",7.97,8.39,7.81,8.22,"717,510,077","912,353,468"
58,"Jun 06, 2019",8.17,8.21,7.38,7.98,"762,379,591","885,842,756"
59,"Jun 05, 2019",8.24,8.36,7.84,8.17,"882,398,657","906,428,616"
60,"Jun 04, 2019",9.40,9.40,7.71,8.21,"1,156,648,679","911,314,722"
61,"Jun 03, 2019",9.52,9.69,9.12,9.41,"1,170,920,227","1,044,148,589"
62,"Jun 02, 2019",8.58,9.55,8.58,9.52,"992,624,941","1,055,459,474"
63,"Jun 01, 2019",8.65,8.85,8.46,8.57,"859,858,805","950,786,053"
64,"May 31, 2019",8.14,8.70,7.95,8.66,"839,281,824","960,025,129"
65,"May 30, 2019",8.17,8.82,7.92,8.13,"957,435,239","901,701,965"
66,"May 29, 2019",8.22,8.42,7.71,8.18,"688,912,471","906,137,980"
67,"May 28, 2019",8.16,8.40,8.03,8.22,"837,088,101","910,788,373"
68,"May 27, 2019",7.66,8.26,7.59,8.19,"769,918,617","907,772,061"
69,"May 26, 2019",7.30,7.70,7.10,7.66,"626,354,051","848,537,728"
70,"May 25, 2019",7.28,7.37,7.18,7.30,"465,778,838","808,511,605"
71,"May 24, 2019",7.09,7.42,6.96,7.29,"645,224,198","806,536,713"
72,"May 23, 2019",6.95,7.12,6.72,7.07,"498,397,530","782,145,658"
73,"May 22, 2019",7.46,7.51,6.86,6.96,"576,207,968","769,940,183"
74,"May 21, 2019",7.41,7.63,7.24,7.46,"584,199,673","825,046,643"
75,"May 20, 2019",7.86,7.86,7.18,7.41,"631,457,067","819,636,003"
76,"May 19, 2019",7.17,7.95,7.14,7.84,"690,201,760","867,391,840"
77,"May 18, 2019",7.22,7.41,7.07,7.16,"615,035,489","792,101,963"
78,"May 17, 2019",7.65,7.78,6.84,7.22,"988,083,259","798,057,809"
79,"May 16, 2019",7.57,8.39,7.10,7.65,"1,311,469,891","845,123,189"
80,"May 15, 2019",6.57,7.60,6.52,7.58,"877,976,799","837,992,582"
81,"May 14, 2019",6.09,6.68,6.08,6.56,"855,242,308","724,122,527"
82,"May 13, 2019",5.83,6.24,5.78,6.09,"718,560,259","672,428,230"
83,"May 12, 2019",6.08,6.21,5.76,5.82,"735,292,770","643,014,982"
84,"May 11, 2019",5.64,6.37,5.62,6.08,"776,014,181","670,874,331"
85,"May 10, 2019",5.57,5.72,5.51,5.64,"483,140,799","622,110,915"
86,"May 09, 2019",5.73,5.81,5.50,5.57,"392,012,219","614,363,021"
87,"May 08, 2019",5.67,5.77,5.59,5.73,"429,553,716","632,516,021"
88,"May 07, 2019",5.69,5.89,5.65,5.67,"476,896,645","624,786,648"
89,"May 06, 2019",5.74,5.77,5.53,5.69,"457,954,181","627,673,791"
90,"May 05, 2019",5.83,5.86,5.66,5.74,"424,731,401","632,528,285"
91,"May 04, 2019",6.07,6.16,5.74,5.83,"476,232,964","642,763,449"
92,"May 03, 2019",5.79,6.16,5.77,6.07,"523,886,695","669,228,348"
93,"May 02, 2019",5.84,5.85,5.76,5.79,"433,550,376","637,477,655"
94,"May 01, 2019",5.90,5.97,5.77,5.84,"437,370,461","643,088,779"
95,"Apr 30, 2019",5.57,5.92,5.57,5.90,"469,034,065","649,645,521"
96,"Apr 29, 2019",5.59,5.70,5.50,5.57,"451,768,362","613,044,566"
97,"Apr 28, 2019",5.51,5.65,5.45,5.58,"369,284,399","614,384,216"
98,"Apr 27, 2019",5.44,5.56,5.43,5.50,"381,560,781","605,453,053"
99,"Apr 26, 2019",5.40,5.49,5.30,5.44,"425,208,370","598,034,577"
100,"Apr 25, 2019",5.60,5.72,5.30,5.40,"401,668,998","593,589,266"
101,"Apr 24, 2019",5.95,5.96,5.46,5.60,"491,679,409","616,037,977"
102,"Apr 23, 2019",5.94,6.13,5.88,5.96,"392,368,632","654,859,775"
103,"Apr 22, 2019",5.93,5.98,5.83,5.94,"377,418,221","653,034,058"
104,"Apr 21, 2019",6.24,6.25,5.76,5.93,"425,303,026","651,376,689"
105,"Apr 20, 2019",6.29,6.33,6.19,6.25,"346,816,506","686,341,997"
106,"Apr 19, 2019",6.34,6.36,6.22,6.29,"370,875,841","690,896,481"
107,"Apr 18, 2019",6.23,6.39,6.21,6.34,"405,282,923","695,964,995"
108,"Apr 17, 2019",6.31,6.34,6.16,6.23,"359,614,141","683,683,454"
109,"Apr 16, 2019",6.19,6.32,6.09,6.31,"373,441,627","692,141,837"
110,"Apr 15, 2019",6.44,6.53,6.08,6.19,"438,340,736","679,618,503"
