,Date,Open,High,Low,Close,Volume,Market Cap
0,,,,,,,
1,"Aug 02, 2019",4.33,4.36,4.12,4.19,"1,433,545,502","3,877,531,096"
2,"Aug 01, 2019",4.43,4.43,4.25,4.33,"1,324,604,253","4,007,034,927"
3,"Jul 31, 2019",4.22,4.44,4.22,4.43,"1,518,001,534","4,097,152,833"
4,"Jul 30, 2019",4.22,4.27,4.15,4.22,"1,576,102,526","3,907,806,033"
5,"Jul 29, 2019",4.25,4.35,4.15,4.22,"1,572,560,093","3,902,969,197"
6,"Jul 28, 2019",4.28,4.32,3.97,4.25,"1,584,112,938","3,933,409,665"
7,"Jul 27, 2019",4.63,4.74,4.22,4.27,"2,045,000,234","3,952,173,693"
8,"Jul 26, 2019",4.58,4.70,4.44,4.63,"1,865,301,245","4,283,169,123"
9,"Jul 25, 2019",4.60,4.69,4.48,4.58,"2,154,005,332","4,232,420,567"
10,"Jul 24, 2019",4.15,4.61,4.02,4.60,"2,832,405,724","4,252,562,683"
11,"Jul 23, 2019",4.13,4.27,3.98,4.16,"1,788,184,058","3,841,886,385"
12,"Jul 22, 2019",4.33,4.38,3.99,4.13,"1,790,906,424","3,816,833,125"
13,"Jul 21, 2019",4.32,4.35,4.18,4.33,"1,695,848,081","3,997,599,997"
14,"Jul 20, 2019",4.05,4.46,4.02,4.32,"1,891,594,202","3,988,273,964"
15,"Jul 19, 2019",4.12,4.16,3.89,4.05,"1,641,543,190","3,737,864,863"
16,"Jul 18, 2019",3.84,4.20,3.79,4.12,"2,262,006,981","3,802,665,951"
17,"Jul 17, 2019",3.67,4.08,3.57,3.85,"2,857,605,313","3,552,230,960"
18,"Jul 16, 2019",4.32,4.37,3.45,3.68,"2,758,129,736","3,393,946,527"
19,"Jul 15, 2019",4.12,4.41,4.05,4.32,"2,530,598,549","3,989,612,610"
20,"Jul 14, 2019",4.76,4.77,4.11,4.12,"2,477,639,003","3,801,248,935"
21,"Jul 13, 2019",4.82,4.82,4.62,4.75,"2,124,047,808","4,387,238,538"
22,"Jul 12, 2019",4.69,4.87,4.64,4.82,"2,184,467,097","4,445,992,043"
23,"Jul 11, 2019",5.29,5.29,4.50,4.69,"3,378,138,041","4,329,934,642"
24,"Jul 10, 2019",5.90,5.93,5.09,5.29,"3,397,970,313","4,881,521,864"
25,"Jul 09, 2019",5.98,6.06,5.86,5.90,"2,231,732,195","5,441,119,726"
26,"Jul 08, 2019",5.95,6.02,5.88,5.98,"2,099,452,335","5,514,578,431"
