,Date,Open,High,Low,Close,Volume,Market Cap
0,,,,,,,
1,"Aug 02, 2019",10402.04,10657.95,10371.01,10518.17,"17,489,094,082","187,791,090,996"
2,"Aug 01, 2019",10077.44,10446.92,9922.02,10399.67,"17,165,337,858","185,653,203,391"
3,"Jul 31, 2019",9604.05,10085.63,9598.10,10085.63,"16,631,520,648","180,028,959,603"
4,"Jul 30, 2019",9522.33,9701.76,9437.34,9607.42,"13,829,811,132","171,472,452,506"
5,"Jul 29, 2019",9548.18,9681.65,9472.95,9519.15,"13,791,445,323","169,880,343,827"
6,"Jul 28, 2019",9491.63,9575.55,9252.30,9552.86,"13,738,687,093","170,461,958,074"
7,"Jul 27, 2019",9871.16,10167.32,9411.52,9477.68,"16,817,809,536","169,099,540,423"
8,"Jul 26, 2019",9913.13,9916.52,9717.98,9870.30,"14,495,714,483","176,085,968,354"
9,"Jul 25, 2019",9809.10,10154.25,9773.96,9911.84,"15,821,952,090","176,806,451,137"
10,"Jul 24, 2019",9887.73,9908.80,9614.31,9811.93,"17,398,734,322","175,005,760,794"
11,"Jul 23, 2019",10346.75,10346.75,9883.60,9900.77,"17,851,916,995","176,572,890,702"
12,"Jul 22, 2019",10596.95,10651.79,10154.92,10343.11,"16,334,414,913","184,443,440,748"
13,"Jul 21, 2019",10777.53,10841.89,10389.60,10599.11,"17,130,580,467","188,987,475,962"
14,"Jul 20, 2019",10525.82,11048.66,10451.28,10767.14,"20,206,615,155","191,963,691,255"
15,"Jul 19, 2019",10653.96,10716.98,10229.63,10530.73,"20,727,426,310","187,725,578,628"
16,"Jul 18, 2019",9698.50,10736.84,9376.80,10666.48,"25,187,024,648","190,129,918,121"
17,"Jul 17, 2019",9471.21,9963.13,9163.13,9693.80,"24,569,921,549","172,777,250,515"
18,"Jul 16, 2019",10896.65,10996.63,9448.11,9477.64,"24,151,199,070","168,908,640,950"
19,"Jul 15, 2019",10257.84,11052.77,9992.01,10895.09,"25,384,047,207","194,147,627,475"
20,"Jul 14, 2019",11381.02,11451.20,10234.58,10256.06,"22,486,000,001","182,741,933,552"
