,Date,Open,High,Low,Close,Volume,Market Cap
0,,,,,,,
1,"Aug 02, 2019",99.20,99.20,93.54,94.94,"2,882,784,454","5,975,497,672"
2,"Aug 01, 2019",98.57,100.26,95.98,99.18,"2,953,184,689","6,240,801,535"
3,"Jul 31, 2019",90.47,99.48,90.33,98.51,"3,051,471,469","6,197,337,878"
4,"Jul 30, 2019",90.47,92.19,89.02,90.57,"2,302,521,844","5,696,275,523"
5,"Jul 29, 2019",89.77,91.39,88.57,90.43,"2,457,824,867","5,686,062,706"
6,"Jul 28, 2019",88.89,90.41,85.35,89.77,"2,460,180,908","5,643,415,873"
7,"Jul 27, 2019",94.32,95.65,87.70,88.89,"2,626,517,608","5,586,678,799"
8,"Jul 26, 2019",93.41,94.55,90.75,94.31,"2,260,844,511","5,925,662,076"
9,"Jul 25, 2019",94.36,95.85,92.47,93.45,"2,690,273,677","5,870,441,888"
10,"Jul 24, 2019",90.46,96.42,88.15,94.31,"3,247,150,970","5,923,434,071"
11,"Jul 23, 2019",95.41,95.48,89.44,90.62,"2,700,924,026","5,690,513,769"
12,"Jul 22, 2019",99.56,100.25,92.30,95.42,"2,693,989,249","5,990,269,582"
13,"Jul 21, 2019",100.51,101.47,96.95,99.63,"2,829,054,215","6,253,213,998"
14,"Jul 20, 2019",98.46,104.61,97.71,100.61,"3,771,308,934","6,313,476,233"
15,"Jul 19, 2019",101.08,101.18,95.72,98.40,"3,983,990,085","6,173,653,347"
16,"Jul 18, 2019",89.69,103.15,87.45,101.09,"4,890,332,056","6,340,559,063"
17,"Jul 17, 2019",79.41,93.05,77.50,89.81,"4,616,360,556","5,632,042,532"
18,"Jul 16, 2019",90.90,92.06,77.50,79.50,"3,703,346,636","4,984,318,767"
19,"Jul 15, 2019",89.86,92.63,85.68,90.92,"3,570,361,793","5,699,307,530"
20,"Jul 14, 2019",101.11,101.68,88.81,89.77,"3,717,531,246","5,625,773,339"
21,"Jul 13, 2019",105.29,105.59,98.01,101.02,"3,353,538,171","6,329,505,235"
22,"Jul 12, 2019",102.83,106.36,101.21,105.30,"3,611,846,208","6,595,612,500"
23,"Jul 11, 2019",108.57,108.57,97.28,102.64,"4,633,853,162","6,427,725,958"
24,"Jul 10, 2019",119.50,120.10,103.82,108.50,"4,699,511,838","6,792,744,022"
25,"Jul 09, 2019",123.25,124.17,118.23,119.43,"3,785,641,025","7,475,393,728"
26,"Jul 08, 2019",120.28,125.08,118.60,123.29,"3,803,750,017","7,714,781,783"
27,"Jul 07, 2019",118.03,120.33,117.64,120.32,"3,348,662,401","7,527,688,155"
28,"Jul 06, 2019",118.38,121.29,117.33,117.82,"3,484,378,308","7,369,730,846"
29,"Jul 05, 2019",119.84,120.65,117.15,118.35,"4,110,868,217","7,401,137,488"
30,"Jul 04, 2019",122.50,126.67,119.05,119.98,"4,564,200,301","7,501,164,315"
31,"Jul 03, 2019",119.33,123.74,118.37,122.56,"4,529,682,890","7,661,188,686"
32,"Jul 02, 2019",122.56,123.29,112.65,119.24,"4,761,878,443","7,451,762,463"
33,"Jul 01, 2019",122.11,126.02,114.22,122.58,"5,034,162,436","7,658,690,466"
34,"Jun 30, 2019",133.72,136.26,120.44,122.25,"5,525,273,220","7,636,046,758"
35,"Jun 29, 2019",120.16,135.74,116.22,133.66,"5,745,785,825","8,347,117,542"
36,"Jun 28, 2019",114.41,122.02,113.47,120.15,"4,683,311,766","7,501,601,230"
37,"Jun 27, 2019",131.22,132.04,110.67,114.40,"5,588,611,122","7,141,234,400"
38,"Jun 26, 2019",136.48,138.32,128.94,131.27,"5,565,887,285","8,191,677,323"
39,"Jun 25, 2019",135.58,138.12,130.89,136.49,"4,411,092,400","8,515,726,713"
40,"Jun 24, 2019",136.92,138.69,132.83,135.53,"3,907,725,105","8,454,028,780"
41,"Jun 23, 2019",141.95,142.56,136.32,136.88,"3,998,980,168","8,536,077,179"
42,"Jun 22, 2019",139.04,146.43,138.48,141.90,"5,488,615,002","8,847,068,564"
43,"Jun 21, 2019",135.51,141.07,135.51,138.88,"4,378,260,963","8,656,823,083"
